type,registration_no,name,dob,place,sex,father,mother,cause,created_at
death,REG-0483,Lee Williams,,Ianfurt,,,,Unknown,2025-11-13T04:44:21.886709
birth,REG-0484,Casey Taylor,1967-01-14,West Vanessa,O,Logan Anderson,Ashley Church,,2025-11-13T04:44:21.887045
birth,REG-0485,Scott Edwards,1963-01-02,Port Daniel,M,Kevin White,Kaitlyn Sullivan,,2025-11-13T04:44:21.887880
birth,REG-0486,Tina Aguilar,2017-06-12,Millershire,O,Alec Rose,Danielle Phillips PhD,,2025-11-13T04:44:21.888680
death,REG-0487,Daniel Moore,,East Anthony,,,,Disease,2025-11-13T04:44:21.889492
death,REG-0488,Dakota Cooper,,Greggland,,,,Natural,2025-11-13T04:44:21.889828
death,REG-0489,Oscar Parsons,,South Kevinport,,,,Natural,2025-11-13T04:44:21.890174
birth,REG-0490,Mark Elliott,2014-03-22,Kimberlyburgh,O,Gabriel Marquez,Katherine Luna,,2025-11-13T04:44:21.890475
death,REG-0491,Shannon Burns,,New Kristin,,,,Natural,2025-11-13T04:44:21.891490
death,REG-0492,Kayla Williams,,East Jennifer,,,,Accident,2025-11-13T04:44:21.891859
death,REG-0493,Samantha Rivera,,Port Davidborough,,,,Disease,2025-11-13T04:44:21.892227
birth,REG-0494,Richard Bartlett,2014-01-21,Leahhaven,F,Corey Adams,Amanda Oneill,,2025-11-13T04:44:21.892534
birth,REG-0495,Donna Mckee,1963-05-08,Lake Melissaborough,O,Bryan Tucker,Priscilla Evans,,2025-11-13T04:44:21.893298
birth,REG-0496,Dylan Aguilar,1988-06-29,North Haley,O,Blake Ross,Michaela Miller,,2025-11-13T04:44:21.894172
birth,REG-0497,Theresa Riggs,1978-12-24,Kristenbury,O,Mr. Tony Johnston,Amy Brooks,,2025-11-13T04:44:21.894950
death,REG-0498,Victoria Leonard,,East Michaelfurt,,,,Disease,2025-11-13T04:44:21.895779
birth,REG-0499,Paula Smith,1980-08-31,Kellymouth,O,Keith Wilson,Molly King,,2025-11-13T04:44:21.896150
death,REG-0500,Kevin Hall,,Williamsland,,,,Unknown,2025-11-13T04:44:21.896981
birth,REG-0501,Jesse Morales,1971-09-15,Maldonadoside,O,Matthew Pruitt,Kathleen Rogers,,2025-11-13T04:44:21.897345
birth,REG-0502,Shelley Bullock,1986-05-18,Fergusonfurt,O,Christopher Coleman,Dana Taylor,,2025-11-13T04:44:21.898175
death,REG-0503,Dr. Melissa Edwards MD,,Lowerymouth,,,,Disease,2025-11-13T04:44:21.899039
death,REG-0504,Michael Green,,Orrfurt,,,,Disease,2025-11-13T04:44:21.899418
death,REG-0505,Sydney Nichols,,Williamsshire,,,,Disease,2025-11-13T04:44:21.907879
death,REG-0506,Scott Long,,Derekmouth,,,,Disease,2025-11-13T04:44:21.908248
birth,REG-0507,Larry Sanders,1966-10-13,Drakebury,F,Edward Johnson,Ms. Kayla Jacobs MD,,2025-11-13T04:44:21.908676
birth,REG-0508,Mark Escobar,2019-02-26,Port Jillside,O,Steven Woods,Melissa Graham,,2025-11-13T04:44:21.909492
death,REG-0509,Dana Velasquez,,Alanmouth,,,,Disease,2025-11-13T04:44:21.910295
birth,REG-0510,James Rivera,1977-11-29,New Kyle,M,Daniel Taylor,Suzanne Bennett,,2025-11-13T04:44:21.910671
death,REG-0511,Jamie Rosario,,Kristenborough,,,,Accident,2025-11-13T04:44:21.911449
death,REG-0512,Lauren Waller,,Evansview,,,,Unknown,2025-11-13T04:44:21.912042
birth,REG-0513,Terri Bray,2009-07-04,New Alexanderfort,M,Thomas Hill,Danielle Nguyen,,2025-11-13T04:44:21.912375
death,REG-0514,Dr. James Wilson MD,,Lake Kevin,,,,Unknown,2025-11-13T04:44:21.913248
death,REG-0515,Deanna Rodgers,,Englishbury,,,,Natural,2025-11-13T04:44:21.913600
birth,REG-0516,Charles Hunt,1969-03-21,Peterstown,F,Aaron Blackwell,Heidi Roach,,2025-11-13T04:44:21.914031
birth,REG-0517,Mark Huffman,1985-08-09,Lake Nicoletown,O,Joshua Carson,Nicole Wade,,2025-11-13T04:44:21.914883
death,REG-0518,Jennifer Rice,,North Melissa,,,,Accident,2025-11-13T04:44:21.915712
birth,REG-0519,Joel Greene,1983-03-22,Salasberg,O,Jason Rose,Tracy Hicks,,2025-11-13T04:44:21.916157
birth,REG-0520,Michael Manning,2025-11-07,East Amy,F,Anthony Shields MD,Tonya Ellis,,2025-11-13T04:44:21.916958
death,REG-0521,Amber Mccall DVM,,South Johnfort,,,,Natural,2025-11-13T04:44:21.917799
birth,REG-0522,Kaitlyn Ray,1955-08-29,Lopezmouth,O,Larry Wilson,Courtney Young,,2025-11-13T04:44:21.918173
death,REG-0523,Carolyn Alvarez MD,,Hayesland,,,,Disease,2025-11-13T04:44:21.919014
birth,REG-0524,Amy Kelley,1946-11-27,Diazside,M,Brian Barnett,Mary Barnett,,2025-11-13T04:44:21.919452
birth,REG-0525,Kathleen Hawkins,1958-01-18,Port Victoriafort,M,Steven Figueroa,Jessica Pierce,,2025-11-13T04:44:21.920225
death,REG-0526,Charles Griffin,,Elizabethport,,,,Natural,2025-11-13T04:44:21.921049
death,REG-0527,Jeffrey Martinez,,New Kathleen,,,,Disease,2025-11-13T04:44:21.921352
death,REG-0528,Ann Butler,,East Justinshire,,,,Unknown,2025-11-13T04:44:21.921820
birth,REG-0529,Kaitlyn Underwood,1976-01-01,East Dianaborough,F,Howard Rangel,Meghan Arnold,,2025-11-13T04:44:21.922283
death,REG-0530,Michael Roberts,,West Beverly,,,,Unknown,2025-11-13T04:44:21.923108
birth,REG-0531,Michael Jacobs,1988-12-18,Stephenton,O,Thomas Reyes,Nicole Weaver,,2025-11-13T04:44:21.923414
birth,REG-0532,Alexis Stark,2012-08-29,Danielport,F,Matthew Webb,Michelle Osborn,,2025-11-13T04:44:21.924249
birth,REG-0533,Shannon Roman,1955-05-23,Katherineburgh,F,Todd Campbell,Marissa Simpson,,2025-11-13T04:44:21.925199
death,REG-0534,Joel Sullivan,,Port Bradleymouth,,,,Unknown,2025-11-13T04:44:21.925948
birth,REG-0535,Mark Carson,1977-09-27,Vazquezborough,M,Robert Conner,Judith Madden,,2025-11-13T04:44:21.926342
death,REG-0536,Amber Ochoa,,South Laurieport,,,,Disease,2025-11-13T04:44:21.927107
birth,REG-0537,Kendra Thompson,1977-10-09,Port Brianview,F,David Rowe,Brenda Le,,2025-11-13T04:44:21.927451
birth,REG-0538,Christina Wallace,2005-03-20,Ryanhaven,F,Joseph Ellis,Victoria Dunn,,2025-11-13T04:44:21.928250
death,REG-0539,Andrea Rodriguez,,New Glendafort,,,,Natural,2025-11-13T04:44:21.928975
death,REG-0540,Joseph Robinson,,East Luis,,,,Unknown,2025-11-13T04:44:21.929352
birth,REG-0541,Joseph Petty,2016-02-18,South Kimberly,M,Connor Horton,Colleen Miller,,2025-11-13T04:44:21.929743
death,REG-0542,Daniel Ward,,East Melissabury,,,,Natural,2025-11-13T04:44:21.930524
death,REG-0543,Melissa Gonzalez PhD,,Evansmouth,,,,Unknown,2025-11-13T04:44:21.930885
birth,REG-0544,Rose Howard,1970-10-04,Katherinebury,M,Troy Campbell,Kathy Park,,2025-11-13T04:44:21.931184
death,REG-0545,Sharon Wilson,,West Kimberlyville,,,,Accident,2025-11-13T04:44:21.932202
birth,REG-0546,Janet Williams,1999-05-02,South Jessicaside,M,John Adams,Debbie Smith,,2025-11-13T04:44:21.932609
death,REG-0547,Jessica Mathis,,Sandersfort,,,,Unknown,2025-11-13T04:44:21.933386
birth,REG-0548,Maria Guerrero,1959-07-25,Wellsville,M,Philip Dawson,Leah Robertson,,2025-11-13T04:44:21.933883
birth,REG-0549,Richard Garcia,1975-09-05,Port Jacksonberg,M,Christopher Clarke,Catherine Flores,,2025-11-13T04:44:21.934624
birth,REG-0550,Stephen Crane,1956-06-16,Chadstad,M,Michael Nelson,Amanda Irwin,,2025-11-13T04:44:21.935348
death,REG-0551,Cheyenne Williams,,Port Laura,,,,Disease,2025-11-13T04:44:21.936101
birth,REG-0552,Melissa Moran,1997-05-01,Foleyfurt,F,Michael Robinson,Jasmin Duke,,2025-11-13T04:44:21.936448
birth,REG-0553,Matthew Campbell,2025-02-12,Tannerborough,F,Edward Ferguson,Stephanie Mendoza,,2025-11-13T04:44:21.937223
death,REG-0554,Shelby Wilson,,Kennethland,,,,Accident,2025-11-13T04:44:21.938147
death,REG-0555,Matthew Guerrero,,Morganmouth,,,,Unknown,2025-11-13T04:44:21.938467
death,REG-0556,Luis Martinez,,Longchester,,,,Accident,2025-11-13T04:44:21.938801
death,REG-0557,Kevin Lowe,,Farleyberg,,,,Unknown,2025-11-13T04:44:21.939192
birth,REG-0558,Tina Tucker,2011-01-10,Port Mia,O,Mr. Joe Russell,Sheila Everett,,2025-11-13T04:44:21.939535
birth,REG-0559,Nicole Lynch,1966-05-21,Lake Jessicamouth,M,Robert Butler,Ashley Rodgers,,2025-11-13T04:44:21.940306
death,REG-0560,Michael Horton,,Josephberg,,,,Unknown,2025-11-13T04:44:21.941043
birth,REG-0561,Melissa Gardner,2004-05-12,North Lisa,M,Jose Green,Ms. Lindsey Wilson,,2025-11-13T04:44:21.941369
birth,REG-0562,John Acosta,1982-12-09,North Todd,O,David Day,Kendra Walters,,2025-11-13T04:44:21.942080
death,REG-0563,William Brown,,Lake Patricia,,,,Unknown,2025-11-13T04:44:21.942905
death,REG-0564,Amy Johnson,,Joshuaton,,,,Natural,2025-11-13T04:44:21.943214
death,REG-0565,Carlos Garrett,,Lake Marychester,,,,Unknown,2025-11-13T04:44:21.943533
birth,REG-0566,Jeffrey Joseph,1969-05-07,Jennifermouth,F,Brandon Paul,Shelby Mckee,,2025-11-13T04:44:21.943858
death,REG-0567,Margaret Hunt,,Lake Sarafurt,,,,Disease,2025-11-13T04:44:21.944572
birth,REG-0568,Michelle Wang,2000-02-14,Jamieberg,F,Richard Burke,Jessica Barnett,,2025-11-13T04:44:21.944891
death,REG-0569,Dustin Little,,Nancyfort,,,,Unknown,2025-11-13T04:44:21.945580
death,REG-0570,Walter Taylor,,Troyville,,,,Natural,2025-11-13T04:44:21.945896
birth,REG-0571,Angela Wallace,2014-04-20,South Erichaven,M,William Wilson,April Thomas,,2025-11-13T04:44:21.946203
birth,REG-0572,Marvin Huang,1977-06-14,Reginaldville,F,Jerry Holder,Lori Griffin,,2025-11-13T04:44:21.946920
death,REG-0573,Lisa Lewis,,New Gailport,,,,Accident,2025-11-13T04:44:21.947633
death,REG-0574,Derrick Caldwell,,Port Charles,,,,Disease,2025-11-13T04:44:21.947956
death,REG-0575,Ronald Graham,,Calvinchester,,,,Natural,2025-11-13T04:44:21.948253
birth,REG-0576,Jessica Alexander,1996-06-04,North Kathy,M,Tyler Patton,Rachel Smith,,2025-11-13T04:44:21.948550
death,REG-0577,Tyler Chambers,,Port William,,,,Natural,2025-11-13T04:44:21.949258
death,REG-0578,Jennifer Jensen,,New Brianfurt,,,,Disease,2025-11-13T04:44:21.949605
death,REG-0579,Cindy Lopez,,South Kaylee,,,,Unknown,2025-11-13T04:44:21.949906
death,REG-0580,Allison Zimmerman,,South Melissashire,,,,Accident,2025-11-13T04:44:21.950233
death,REG-0581,David Moran,,Alvarezbury,,,,Accident,2025-11-13T04:44:21.950569
birth,REG-0582,Amber Martin,1981-08-30,Salasberg,F,Benjamin Jones,Kristen Rogers,,2025-11-13T04:44:21.950901
birth,REG-0583,Loretta Hall,1952-07-31,New Michaelborough,O,Tyler Sloan,Vanessa Lopez,,2025-11-13T04:44:21.951643
death,REG-0584,Joel Turner,,New Jamieton,,,,Natural,2025-11-13T04:44:21.952376
death,REG-0585,Jill Mcdonald,,Port Jasontown,,,,Unknown,2025-11-13T04:44:21.952782
death,REG-0586,Maria Franklin,,Millerburgh,,,,Accident,2025-11-13T04:44:21.953127
death,REG-0587,Pamela Dennis,,Andreamouth,,,,Accident,2025-11-13T04:44:21.953460
birth,REG-0588,Jordan Schneider,1993-02-24,Claytonland,F,Jason Richards,Mary Morales,,2025-11-13T04:44:21.953893
death,REG-0589,Lori Mcmillan,,Zoefort,,,,Unknown,2025-11-13T04:44:21.954649
death,REG-0590,Lauren Hooper,,Marisastad,,,,Accident,2025-11-13T04:44:21.954956
birth,REG-0591,Kyle Murphy,2021-09-26,New Meganhaven,M,Eduardo Bailey,Dr. Rebecca Pearson DDS,,2025-11-13T04:44:21.955251
birth,REG-0592,Nicole Reed,1954-06-24,Williamsstad,F,Ricky Dominguez,Martha Gutierrez,,2025-11-13T04:44:21.956086
birth,REG-0593,Jeffery Moore,1956-05-04,Bradfordchester,M,Steven Jones,Jane Miller,,2025-11-13T04:44:21.956872
birth,REG-0594,Crystal Blackwell,1992-10-22,East Christopher,O,Tyler Adams DDS,Natalie Gonzalez,,2025-11-13T04:44:21.957632
death,REG-0595,Dalton Sullivan,,North Patrick,,,,Natural,2025-11-13T04:44:21.958368
death,REG-0596,Veronica Brown,,Lake Timothyshire,,,,Disease,2025-11-13T04:44:21.958703
death,REG-0597,Robert Watson,,South Karenstad,,,,Natural,2025-11-13T04:44:21.959006
birth,REG-0598,Daniel Christian,1988-12-11,Heatherhaven,M,Jason Beasley,Stacy Roach,,2025-11-13T04:44:21.959298
death,REG-0599,Tammy Clark,,Port Philliptown,,,,Disease,2025-11-13T04:44:21.960119
birth,REG-0600,Amy Diaz,2015-12-22,Elizabethside,O,William Tran,Deborah Reed,,2025-11-13T04:44:21.960447
birth,REG-0601,Mrs. Donna Smith,2017-09-07,Mitchellbury,M,Alex Petersen,Carolyn Newman,,2025-11-13T04:44:21.961368
birth,REG-0602,Robert Daniel,1954-11-01,Leeview,F,Philip Mays,Sydney Gardner,,2025-11-13T04:44:21.962165
birth,REG-0603,Kelsey Robinson,2007-12-15,East Jeffrey,F,Justin Schwartz,Margaret Carter,,2025-11-13T04:44:21.963013
birth,REG-0604,Cynthia Patrick,2013-01-22,Hernandeztown,F,Charles Frey,Katherine Rodriguez,,2025-11-13T04:44:21.963844
death,REG-0605,Richard Hoffman,,Lake Connieshire,,,,Accident,2025-11-13T04:44:21.964578
birth,REG-0606,Hannah Jones,1990-12-22,Lake Danielletown,O,Christian Harris,Kathleen Kelley,,2025-11-13T04:44:21.964915
death,REG-0607,Ryan Moore,,Port Jonathanshire,,,,Unknown,2025-11-13T04:44:21.965641
birth,REG-0608,James Rodriguez,1950-09-05,New Courtney,O,Troy Arias,Sabrina Friedman,,2025-11-13T04:44:21.965971
birth,REG-0609,Brian Harrington,1963-03-28,Johnfurt,M,James Contreras,Barbara Scott,,2025-11-13T04:44:21.966693
birth,REG-0610,Shannon Gonzalez,1967-08-31,Francesstad,M,Anthony Moore,Shannon Smith,,2025-11-13T04:44:21.967442
death,REG-0611,Richard Thomas,,East Jamesport,,,,Disease,2025-11-13T04:44:21.968191
birth,REG-0612,Jeffrey Kennedy,2005-11-14,New Teresa,F,Andrew Ward,Hannah Robbins,,2025-11-13T04:44:21.968518
birth,REG-0613,David Williamson,2025-01-23,West Sheenatown,M,Scott Woods MD,Laura Walker,,2025-11-13T04:44:21.969233
death,REG-0614,Sandra Sanchez,,North Johnny,,,,Disease,2025-11-13T04:44:21.970125
death,REG-0615,Jerry Lane,,West Katiemouth,,,,Unknown,2025-11-13T04:44:21.970462
birth,REG-0616,Kristen Reeves,2022-11-11,Brownmouth,M,Luke Jones,Kathleen Morgan,,2025-11-13T04:44:21.970801
death,REG-0617,David Montoya,,Jamesville,,,,Unknown,2025-11-13T04:44:21.971536
birth,REG-0618,Peter Rogers,2023-04-18,Matthewville,M,James Rodgers,Karen Carey,,2025-11-13T04:44:21.971877
death,REG-0619,Evan Romero,,North Karenview,,,,Accident,2025-11-13T04:44:21.972628
death,REG-0620,Bruce Bass,,Bruceside,,,,Natural,2025-11-13T04:44:21.973041
birth,REG-0621,Jennifer Frederick,2001-01-17,Kerrymouth,F,Willie Gibson,Catherine Weaver,,2025-11-13T04:44:21.973397
death,REG-0622,Erica Franklin,,East Howard,,,,Disease,2025-11-13T04:44:21.974127
death,REG-0623,David Porter,,New Wesley,,,,Unknown,2025-11-13T04:44:21.974448
birth,REG-0624,Stephen Berry,1970-11-08,Lake Alyssastad,O,John Jimenez,Kathy Campbell,,2025-11-13T04:44:21.974774
birth,REG-0625,Joshua Chapman,1954-04-01,East Kenneth,F,Thomas Downs,Tina Stewart,,2025-11-13T04:44:21.975485
birth,REG-0626,Cody Guerrero,1978-03-29,Port Timothy,F,Robert Lambert,Julie Chapman,,2025-11-13T04:44:21.976234
death,REG-0627,Colleen Mayo,,Erinberg,,,,Natural,2025-11-13T04:44:21.977000
birth,REG-0628,Jason Smith,2019-02-16,Velasquezview,O,Roy Mcmahon,Heather Gray,,2025-11-13T04:44:21.977345
death,REG-0629,Jacqueline Powell,,East Charles,,,,Unknown,2025-11-13T04:44:21.978152
death,REG-0630,Scott Fitzgerald,,Andrewsbury,,,,Disease,2025-11-13T04:44:21.978499
death,REG-0631,Jonathan Myers,,Aaronport,,,,Disease,2025-11-13T04:44:21.978855
birth,REG-0632,Jose Lynch,1985-03-28,Kevinberg,O,Mark Bryant,Shari Fritz,,2025-11-13T04:44:21.979177
birth,REG-0633,Ronald Frazier,1983-04-10,Richardsonfurt,O,Matthew Bass,Brianna Brown,,2025-11-13T04:44:21.980055
death,REG-0634,Kristin Lloyd,,Elainebury,,,,Unknown,2025-11-13T04:44:21.980775
birth,REG-0635,Derrick Thomas,1985-08-18,East Karinafort,F,Michael Daniel,Brandi Mooney,,2025-11-13T04:44:21.981147
death,REG-0636,James Armstrong,,Lake Barbaraton,,,,Accident,2025-11-13T04:44:21.981855
birth,REG-0637,Thomas Rosario,1970-04-09,Mooreport,F,Joshua Ramirez,Elizabeth Lynch,,2025-11-13T04:44:21.982243
birth,REG-0638,Steven Robinson,1945-09-11,Samanthachester,O,Jeffrey Zamora,Erika Miller,,2025-11-13T04:44:21.982938
death,REG-0639,Michael Green,,Haynesmouth,,,,Accident,2025-11-13T04:44:21.984729
death,REG-0640,Michael Melton,,Aprilchester,,,,Accident,2025-11-13T04:44:21.985460
birth,REG-0641,Jennifer Alvarez,1955-11-20,Amytown,M,James Gonzalez,Theresa Ryan,,2025-11-13T04:44:21.985783
death,REG-0642,Kyle Nguyen,,Victoriaton,,,,Unknown,2025-11-13T04:44:21.986554
death,REG-0643,Mary Rios,,Powellmouth,,,,Unknown,2025-11-13T04:44:21.986950
death,REG-0644,Joshua Holloway,,Marieborough,,,,Unknown,2025-11-13T04:44:21.987329
birth,REG-0645,Joy Thomas,1975-01-21,West Vanessa,O,Devin Lloyd,Jessica King,,2025-11-13T04:44:21.987697
death,REG-0646,Michelle Davidson,,Kennethtown,,,,Unknown,2025-11-13T04:44:21.988407
birth,REG-0647,David Williams,1998-09-19,Kevinville,F,Mitchell Russell,Hannah Gray,,2025-11-13T04:44:21.988743
birth,REG-0648,Raymond Dudley,1993-12-09,South Stephaniestad,O,Bruce Smith,Tamara Soto,,2025-11-13T04:44:21.989450
birth,REG-0649,Jessica Herrera,1982-01-17,Lake Nicholasmouth,M,Jim Henderson,Kelly Miller,,2025-11-13T04:44:21.990206
death,REG-0650,Jennifer Espinoza,,East Jacobmouth,,,,Disease,2025-11-13T04:44:21.990941
birth,REG-0651,Sarah Pierce,1954-07-29,Joshuaberg,M,Melvin Reynolds,Virginia Ellis,,2025-11-13T04:44:21.991246
birth,REG-0652,Bryan Schwartz,1981-09-19,Josephchester,F,Joel Martin,Miranda Turner,,2025-11-13T04:44:21.992021
death,REG-0653,Donna Howard,,West Lindseyfurt,,,,Disease,2025-11-13T04:44:21.992724
death,REG-0654,Stephen Morales,,Port Kimberlystad,,,,Disease,2025-11-13T04:44:21.993079
birth,REG-0655,Chad Pratt,1969-06-13,Patriciashire,O,Robert Wolf,Lori Rivera,,2025-11-13T04:44:21.993477
birth,REG-0656,Rebecca Mendez,2002-05-01,Ashleyton,O,Steven Perez,Catherine Parsons MD,,2025-11-13T04:44:21.994266
birth,REG-0657,Sue Leonard,1964-10-15,West Laurenport,O,Christopher Herrera,Kristen Castro,,2025-11-13T04:44:21.995209
birth,REG-0658,Kevin Harrison,1948-02-07,Meghanton,O,Benjamin Lewis,Sarah Sweeney,,2025-11-13T04:44:21.995946
birth,REG-0659,Mr. Leon Goodman,2006-08-06,West Robert,M,Justin Goodman,Gloria Gilmore,,2025-11-13T04:44:21.996760
death,REG-0660,Stephanie Carter,,Heatherchester,,,,Unknown,2025-11-13T04:44:21.997513
death,REG-0661,Shannon Stanley,,North Wendy,,,,Natural,2025-11-13T04:44:21.997822
birth,REG-0662,Rebecca Jenkins,2017-11-13,Christopherchester,O,Connor Peterson,Erin Torres,,2025-11-13T04:44:21.998123
birth,REG-0663,Zachary Soto,2025-04-27,West Donaldfort,O,Robert Goodwin,Margaret Morris,,2025-11-13T04:44:21.998870
death,REG-0664,Kara Pierce,,Port Cheryl,,,,Disease,2025-11-13T04:44:21.999610
birth,REG-0665,Jason Reynolds,1999-12-31,North Michaelborough,M,Daniel Brennan,Samantha Jones,,2025-11-13T04:44:22.008226
death,REG-0666,Daniel Burns,,Smithmouth,,,,Accident,2025-11-13T04:44:22.009033
birth,REG-0667,Corey Bush,1985-10-20,Alyssaland,F,Darrell Brown,Megan Huang,,2025-11-13T04:44:22.009361
death,REG-0668,Michele Baker,,West Michelle,,,,Accident,2025-11-13T04:44:22.010118
birth,REG-0669,Terri Barber,1952-02-02,Jefferychester,O,Ronald Moore,Julie Johnson,,2025-11-13T04:44:22.010455
birth,REG-0670,Holly Atkinson,2014-01-15,Brownside,F,Russell Gill,Kelly Avila,,2025-11-13T04:44:22.011224
birth,REG-0671,Jessica Kelley,1991-01-07,Jaymouth,O,John Barrett MD,Jessica Johnson,,2025-11-13T04:44:22.011988
death,REG-0672,Janice Watson,,West Gabriela,,,,Natural,2025-11-13T04:44:22.012755
death,REG-0673,Alexandra Krause,,Nguyenside,,,,Unknown,2025-11-13T04:44:22.013101
birth,REG-0674,Elizabeth Mcgee,2015-12-23,Gentryfurt,M,Christopher Cross,Laura May,,2025-11-13T04:44:22.013466
death,REG-0675,Shaun Holmes,,Marymouth,,,,Natural,2025-11-13T04:44:22.014287
death,REG-0676,Ryan Jones,,Charlesland,,,,Natural,2025-11-13T04:44:22.014624
birth,REG-0677,Gina Hicks,1986-09-05,South Elizabethmouth,O,Phillip Wright,Charlene Solis,,2025-11-13T04:44:22.014965
birth,REG-0678,Chase Gonzalez,1991-04-22,North Veronicamouth,O,Jonathan Gibson,Pamela Davis,,2025-11-13T04:44:22.015716
birth,REG-0679,Jocelyn Barber,1965-06-01,Lake Jackiehaven,M,Greg Pham,Amanda White,,2025-11-13T04:44:22.016453
death,REG-0680,James Smith,,West Melissaport,,,,Accident,2025-11-13T04:44:22.017309
death,REG-0681,Anna Garcia,,Gallagherburgh,,,,Natural,2025-11-13T04:44:22.017688
birth,REG-0682,Lauren Chambers,1986-05-23,Desireehaven,O,Raymond Hill,Shelby Avila,,2025-11-13T04:44:22.017994
death,REG-0683,Rachel Porter,,Lake Victoriatown,,,,Unknown,2025-11-13T04:44:22.018746
death,REG-0684,Kevin Collins,,South Paulchester,,,,Natural,2025-11-13T04:44:22.019048
birth,REG-0685,Priscilla Reid,1998-11-01,North Charles,M,Kevin Macias,Ashley Lopez,,2025-11-13T04:44:22.019365
birth,REG-0686,Alexander Jordan,1995-10-03,Jamesville,O,Cory Brown,Melissa Mccarty,,2025-11-13T04:44:22.020154
birth,REG-0687,Kathleen Davis,1964-10-24,East Kristen,O,William Hawkins,Brandi Banks,,2025-11-13T04:44:22.020901
death,REG-0688,Erik Hart,,Jacquelineside,,,,Accident,2025-11-13T04:44:22.021624
birth,REG-0689,James Hunt,2006-07-19,Millerstad,O,Bruce Jenkins,Ann Vasquez,,2025-11-13T04:44:22.021980
birth,REG-0690,Ronald Brady,1976-05-06,Nathanielborough,M,Chase Everett,Katherine White,,2025-11-13T04:44:22.022697
death,REG-0691,Stephanie Patel,,South Ashley,,,,Disease,2025-11-13T04:44:22.023418
death,REG-0692,Mark Vang,,Danielside,,,,Natural,2025-11-13T04:44:22.023755
birth,REG-0693,Robin Andrews,1952-12-09,East Brettburgh,M,Steven Contreras,Heidi Vasquez,,2025-11-13T04:44:22.024187
birth,REG-0694,Matthew Henry,2018-05-29,Lydiaburgh,O,John Murphy,Julie Noble,,2025-11-13T04:44:22.024927
death,REG-0695,Paul Blanchard,,Hodgeville,,,,Natural,2025-11-13T04:44:22.025706
birth,REG-0696,Andrew Garza DDS,2007-01-15,West Carolynmouth,F,Calvin Gentry,Jody Gray MD,,2025-11-13T04:44:22.026022
death,REG-0697,Miguel Nelson,,Manningbury,,,,Natural,2025-11-13T04:44:22.026852
death,REG-0698,Nicole Bell,,Williamsville,,,,Natural,2025-11-13T04:44:22.027195
death,REG-0699,Jane Erickson,,West Antonioburgh,,,,Accident,2025-11-13T04:44:22.027558
birth,REG-0700,Ryan Vaughn,1995-01-30,New Tanyaborough,M,Todd Steele,Andrea Robles,,2025-11-13T04:44:22.027920
birth,REG-0701,Joshua Best,1950-12-23,Charleschester,O,Patrick Reed,Margaret Young,,2025-11-13T04:44:22.028650
birth,REG-0702,Crystal Lynch,1963-10-16,New Jasmine,O,Mark Miller,Tara Mccann,,2025-11-13T04:44:22.029374
death,REG-0703,Patricia Hogan,,Lake Audrey,,,,Natural,2025-11-13T04:44:22.030161
death,REG-0704,Mary Avila,,Drewshire,,,,Accident,2025-11-13T04:44:22.030476
birth,REG-0705,Ryan Jones,2001-11-22,Samuelbury,M,David Abbott,Barbara Williams,,2025-11-13T04:44:22.030801
death,REG-0706,Gary Stanley,,Dodsonhaven,,,,Unknown,2025-11-13T04:44:22.031564
birth,REG-0707,Pamela Morrison,2005-01-10,Jeffreyborough,F,Mike Russell,Bethany Bridges,,2025-11-13T04:44:22.031914
birth,REG-0708,Stephanie Clark,1949-12-04,Port Jeffery,O,Richard Kim,Vicki Bender,,2025-11-13T04:44:22.032918
birth,REG-0709,Matthew Roberts,1945-10-19,East Gregory,O,Joseph Hahn,Natalie Steele,,2025-11-13T04:44:22.033665
death,REG-0710,Allison Sparks,,Ninashire,,,,Disease,2025-11-13T04:44:22.034524
birth,REG-0711,Barbara Brown,1980-07-20,Port Michelle,M,Richard Farmer,Melanie Wells,,2025-11-13T04:44:22.034835
death,REG-0712,Carl Robertson,,South Kathryn,,,,Unknown,2025-11-13T04:44:22.035598
death,REG-0713,Cindy Villegas,,Aaronstad,,,,Disease,2025-11-13T04:44:22.035927
birth,REG-0714,Brian Prince,2022-07-08,Hudsonside,O,Shawn Keller,Debbie Johnson,,2025-11-13T04:44:22.036290
death,REG-0715,Megan Cole,,Michaelfurt,,,,Natural,2025-11-13T04:44:22.037010
birth,REG-0716,Dana Espinoza,1966-12-07,New Reginald,O,Phillip Martinez,Carrie Montgomery,,2025-11-13T04:44:22.037346
death,REG-0717,Keith Hayes,,New Jennifer,,,,Accident,2025-11-13T04:44:22.038065
birth,REG-0718,Leslie Little,1990-01-03,Port Randallchester,M,Xavier Wong,Allison Trujillo,,2025-11-13T04:44:22.038397
death,REG-0719,Brian Simpson,,North James,,,,Disease,2025-11-13T04:44:22.039118
death,REG-0720,Erica Marsh,,Jeromestad,,,,Disease,2025-11-13T04:44:22.039446
birth,REG-0721,Joseph Salazar,2024-07-14,Lake Brandy,M,Anthony Nelson,Heather Jacobson,,2025-11-13T04:44:22.039793
birth,REG-0722,Michelle Brown,2025-03-08,Ericview,F,Michael Williams,Valerie Jones,,2025-11-13T04:44:22.040567
birth,REG-0723,Scott Smith,2020-07-07,Parsonsbury,M,Martin Phillips,Sarah Simmons,,2025-11-13T04:44:22.041326
